UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
DAY,1658793600,267,cadli,BTC-USD,21316.7699867919,21316.7699867919,20747.4416798706,21269.8745649408,1658793600,1658879940,21274.3041005146,21304.6356135119,1658793660,20747.4416798706,1658850900,21269.8745649408,1440,846363.2650268,17801074128.3868,332375.021225457,6989547556.66267,89878.641033556,1889528676.85915,37260.46418606,783267815.206342
DAY,1658880000,267,cadli,BTC-USD,21269.8745649408,23147.2472348727,21079.357621755,22962.8182152291,1658880000,1658966340,21279.8236594113,23147.2472348727,1658965800,21079.357621755,1658893440,22962.8182152291,1440,970709.776277428,21283514954.547,503273.398488931,11108006685.0282,201113.696047746,4490082984.07139,139672.44309388,3143087474.91685
DAY,1658966400,267,cadli,BTC-USD,22962.8182152291,24166.2854503185,22649.6019213247,23858.0662916566,1658966400,1659052740,23001.7154266026,24166.2854503185,1659040620,22649.6019213247,1659011520,23858.0662916566,1440,991789.797073632,23156272463.7783,448009.05191756,10469167692.2905,124824.489756592,2920089268.59944,53208.21150884,1245690165.37922
DAY,1659052800,267,cadli,BTC-USD,23858.0662916566,24341.7515026132,23483.5353380699,23776.6077602224,1659052800,1659139140,23878.4405766139,24341.7515026132,1659076860,23483.5353380699,1659100560,23776.6077602224,1440,875591.252998112,20914662983.179,412612.556509671,9855079112.74859,123846.452387528,2957367998.84657,61775.72571635,1474864799.48432
DAY,1659139200,267,cadli,BTC-USD,23776.6077602224,24598.3637495244,23550.9979917047,23649.5949175304,1659139200,1659225540,23791.1300282134,24598.3637495244,1659196080,23550.9979917047,1659219420,23649.5949175304,1440,679787.302231968,16361110395.1914,289510.650607969,6971960280.42752,84339.214355808,2031710256.88432,38703.05860962,932981236.963867
DAY,1659225600,267,cadli,BTC-USD,23649.5949175304,24174.6712790443,23259.2841703149,23313.8527919824,1659225600,1659311940,23635.9333853251,24174.6712790443,1659291240,23259.2841703149,1659307140,23313.8527919824,1440,638642.659489803,15151260615.4683,270770.988635227,6422752223.40999,99810.80122726,2367112327.929,61599.92805604,1461210292.47346
DAY,1659312000,267,cadli,BTC-USD,23313.8527919824,23534.7309491745,22876.9461271017,23283.7273812922,1659312000,1659398340,23312.6395349163,23534.7309491745,1659363000,22876.9461271017,1659379620,23283.7273812922,1440,705625.290035883,16378087593.2148,314521.474686479,7294320013.6122,116790.02121805,2703802330.59814,73974.4447912,1710298101.18476
DAY,1659398400,267,cadli,BTC-USD,23283.7273812922,23410.0059927363,22652.5533824206,23002.2350849598,1659398400,1659484740,23234.4111104157,23410.0059927363,1659459900,22652.5533824206,1659432720,23002.2350849598,1440,1032247.53803445,23681039823.7335,624208.501487901,14315068140.122,407314.205276851,9332373482.75392,360551.79248606,8256673498.89635
DAY,1659484800,267,cadli,BTC-USD,23002.2350849598,23602.3778515616,22713.6365099606,22845.0854057235,1659484800,1659571140,23008.119859175,23602.3778515616,1659529260,22713.6365099606,1659488700,22845.0854057235,1440,871901.607656396,20247588054.253,497511.069210725,11559099928.1563,295880.63605332,6878809717.41495,249830.74868319,5809794554.7759
DAY,1659571200,267,cadli,BTC-USD,22845.0854057235,23241.847789875,22454.2407894651,22622.431583546,1659571200,1659657540,22833.7398687364,23241.847789875,1659577500,22454.2407894651,1659642540,22622.431583546,1440,760414.883389264,17384897619.3037,363658.11232851,8309195692.00899,151516.107033946,3460614320.25344,106508.71036799,2433039986.9942
